#CRTS ID	RA (J2000)	Dec (J2000)	UT Date	Mag	CSS images	SDSS	Others	Followed	Last	LC	FC	Classification
CSS160112:024814+293830	42.05755	29.64155	20160112.25	17.18	1601121290144125481	yes	12548	no	2016-11-06	12548	yes	SN SDSS mag 19,3
CSS101110:024837+072412	42.15479	7.40328	20101110.29	18.05	1011101070154125768	no	12576	yes	2016-11-07	12576	yes	SN 2010kj MLS101102 mag 21
CSS101029:024845+320639	42.18743	32.11092	20101029.22	18.21	1010291320134122717	yes	12271	yes	2016-11-06	12271	yes	CV SDSS mag >22,0
CSS111030:024850-080430	42.20706	-8.07505	20111030.38	18.74	1110300070154106463	yes	10646	no	2016-11-07	10646	yes	SN (Master) SDSS mag 21,0
CSS131102:024850+401448	42.20941	40.24677	20131102.23	16.56	1311021400124123088	no	12308	no	2016-11-06	12308	yes	CV mag 21
CSS111031:024856-180708	42.23287	-18.11880	20111031.38	18.96	1110310180154126160	no	12616	yes	2016-10-11	12616	yes	SN? PQ mag >20
CSS111019:024856-180708	42.23321	-18.11877	20111019.38	19.72	1110190180154119758	no	11975	yes	2016-10-11	11975	yes	SN? mag > 20
CSS080923:024916+233638	42.31609	23.61044	20080923.31	19.70	809231230144114335	no	14335	no	2016-11-05	14335	no	Ast
CSS101010:025000+373922	42.50058	37.65616	20101010.27	14.59	1010101380134129854	no	12985	no	2016-11-06	12985	yes	CV PY_Per
CSS100916:025002+042211	42.50886	4.36972	20100916.42	19.95	1009161040164122231	yes	12223	no	2016-11-07	12223	yes	Unknown SDSS mag >22
CSS161107:025008-015027	42.53247	-1.84096	20161107.38	16.04	1611070010164112041	yes	11204	no	2016-11-07	11204	yes	HPM LHS_1451 SDSS mag 17,0
CSS121120:025018+322440	42.57339	32.41108	20121120.25	17.03	1211201320134127533	yes	12753	no	2016-11-06	12753	yes	SN 2012gz SDSS mag 20,2
CSS121212:025025+070218	42.60218	7.03845	20121212.26	19.46	1212121070164123828	yes	12382	no	2016-11-07	12382	yes	Unknown SDSS mag >22
CSS120924:025113+202319	42.80435	20.38864	20120924.48	19.49	1209241210154109886	yes	10988	yes	2016-10-28	10988	yes	SN SDSS mag 22,1
CSS101116:025116-035308	42.81571	-3.88563	20101116.26	17.88	1011160040164121254	yes	12125	no	2016-11-07	12125	yes	HPM mag 18
CSS120918:025116-035311	42.81638	-3.88650	20120918.46	17.93	1209180040164133578	yes	13357	no	2016-11-07	13357	yes	HPM 2MASS_J02511490
CSS131109:025116-035314	42.81687	-3.88719	20131109.29	18.02	1311090040164127564	yes	12756	no	2016-11-07	12756	yes	HPM 2MASS_J025114
CSS151003:025116-035317	42.81709	-3.88816	20151003.50	18.11	1510030040164121451	yes	12145	no	2016-11-07	12145	yes	HPM
CSS101001:025125+251816	42.85414	25.30447	20101001.36	19.63	1010011230154142022	no	14202	yes	2016-10-28	14202	yes	SN/Var
CSS111122:025206+071046	43.02493	7.17931	20111122.23	18.78	1111221070164127486	no	12748	no	2016-11-07	12748	yes	SN SDSS mag >22
CSS101013:025213+170810	43.05294	17.13624	20101013.30	19.76	1010131180154105069	no	10506	yes	2016-11-09	10506	yes	AGN?
CSS161020:025239-143157	43.16311	-14.53246	20161020.36	16.00	1610200150154126336	no	12633	no	2016-11-08	12633	yes	HPM LHS_1462
CSS121013:025247+015544	43.19461	1.92886	20121013.36	13.84	1210131010164129332	yes	12933	no	2016-11-07	12933	yes	HPM LHS_161
CSS141117:025247+015543	43.19542	1.92855	20141117.26	13.82	1411171010164128066	yes	12806	no	2016-11-07	12806	yes	HPM LHS_161
CSS141224:025249+290315	43.20389	29.05409	20141224.27	16.41	1412241290144114447	yes	11444	no	2016-11-06	11444	yes	CV mag >21
CSS140211:025304+165158	43.26758	16.86618	20140211.15	12.49	1402111150154136448	no	13644	no	2016-11-09	13644	yes	HPM GAT_1370
CSS150207:025304+165155	43.26858	16.86533	20150207.12	12.52	1502071150154145908	no	14590	no	2016-11-09	14590	yes	HPM GAT_1370
CSS150925:025305+165153	43.26943	16.86464	20150925.32	12.55	1509251150154138755	no	13875	no	2016-11-09	13875	yes	HPM GAT_1370
CSS161110:025305+165148	43.27045	16.86336	20161110.22	12.58	1611101150154137989	no	13798	no	2016-11-10	13798	yes	HPM GAT_1370
CSS090928:025310+250249	43.29017	25.04683	20090928.34	19.41	909281230154141995	no	41995	no	2016-10-28	41995	yes	AGN?
CSS100112:025314+151808	43.30920	15.30220	20100112.14	19.35	1001121150154120180	no	12018	yes	2016-11-09	12018	yes	SN (spec) mag 23 NOAO
